2.03	0.98546
2.16	0.95702
2.19	0.91589
2.22	0.72460
2.31	0.67839
2.47	0.63980
2.75	0.59029
3	0.54064
3.16	0.50617
3.38	0.46021
3.66	0.40045
3.91	0.35880
4.06	0.33839
4.19	0.32384
4.28	0.31681
4.38	0.32384
4.6	0.33839
5.19	0.37491
5.5	0.39462
5.69	0.38605
5.88	0.37766
6.16	0.35618
6.38	0.33103
6.72	0.27973
7.04	0.23124
7.32	0.19541
7.66	0.16634
7.85	0.15459
8.13	0.14473
8.32	0.13851
8.51	0.13551
8.79	0.13159
9.32	0.11877
9.66	0.11039
10.01	0.10185
10.32	0.09328
10.63	0.08544
10.94	0.07940
11.32	0.07655
